State,City,Category,gasdate,Date Local,NO2 Units,NO2 Mean,O3 Units,O3 Mean,SO2 Units,SO2 Mean,CO Units,CO Mean
Alabama,Birmingham,,,6/14/2014,Parts per billion,6.995833,Parts per million,0.029167,Parts per billion,2.427273,Parts per million,0.185909
Alabama,Birmingham,,,6/15/2014,Parts per billion,9.645833,Parts per million,0.030583,Parts per billion,1.968182,Parts per million,0.232273
Alabama,Birmingham,,6/16/2014,6/16/2014,Parts per billion,16.286364,Parts per million,0.024083,Parts per billion,7.515,Parts per million,0.2695
Alabama,Birmingham,,,6/17/2014,Parts per billion,9.475,Parts per million,0.024083,Parts per billion,1.43,Parts per million,0.233636
Alabama,Birmingham,,,6/18/2014,Parts per billion,14.329167,Parts per million,0.025458,Parts per billion,1.890909,Parts per million,0.345263
Alabama,Birmingham,,,6/19/2014,Parts per billion,12.5125,Parts per million,0.03075,Parts per billion,2.504545,Parts per million,0.333182
Alabama,Birmingham,,,6/20/2014,Parts per billion,10.066667,Parts per million,0.0235,Parts per billion,1.322727,Parts per million,0.246364
Alabama,Birmingham,,,6/21/2014,Parts per billion,6.8125,Parts per million,0.029375,Parts per billion,0.545455,Parts per million,0.206818
Alabama,Birmingham,,,6/22/2014,Parts per billion,7.3375,Parts per million,0.026792,Parts per billion,1.127273,Parts per million,0.122727
Alabama,Birmingham,,6/23/2014,6/23/2014,Parts per billion,9.016667,Parts per million,0.031708,Parts per billion,0.63,Parts per million,0.1325
Alabama,Birmingham,,,6/24/2014,Parts per billion,6.154167,Parts per million,0.022917,Parts per billion,0.713636,Parts per million,0.106818
Alabama,Birmingham,,,6/25/2014,Parts per billion,6.466667,Parts per million,0.02925,Parts per billion,1.190909,Parts per million,0.161364
Alabama,Birmingham,,,6/26/2014,Parts per billion,6.204167,Parts per million,0.016917,Parts per billion,0.340909,Parts per million,0.175
Alabama,Birmingham,,,6/27/2014,Parts per billion,7.35,Parts per million,0.01975,Parts per billion,0.345,Parts per million,0.210909
Alabama,Birmingham,,,6/28/2014,Parts per billion,6.2,Parts per million,0.024292,Parts per billion,0.695455,Parts per million,0.109091
Alabama,Birmingham,,,6/29/2014,Parts per billion,7.3375,Parts per million,0.013792,Parts per billion,0.836364,Parts per million,0.081364
Alabama,Birmingham,,6/30/2014,6/30/2014,Parts per billion,7.154545,Parts per million,0.014292,Parts per billion,0.26,Parts per million,0.1
Alabama,Birmingham,,7/7/2014,7/7/2014,Parts per billion,9.741667,Parts per million,0.0055,Parts per billion,0.405,Parts per million,0.184615
